,Team,Week,Result,Home,Opp_Name,Tm,Opp,OFF1stD,OFFTotYd,OFFPassY,OFFRushY,TOOFF,DEF1stD,DEFTotYd,DEFPassY,DEFRushY,TODEF,OffenseEP,DefenseEP,Sp_TmsEP
0,kan,1,1,1,Houston Texans,34.0,20.0,28.0,369.0,203.0,166.0,0.0,21.0,360.0,242.0,118.0,1.0,22.94,-8.16,1.59
1,kan,2,1,0,Los Angeles Chargers,23.0,20.0,23.0,414.0,289.0,125.0,0.0,28.0,479.0,296.0,183.0,1.0,10.92,-13.33,3.8
2,kan,3,1,0,Baltimore Ravens,34.0,20.0,29.0,517.0,385.0,132.0,1.0,16.0,228.0,70.0,158.0,1.0,26.62,4.74,-17.39
3,kan,4,1,1,New England Patriots,26.0,10.0,19.0,323.0,229.0,94.0,1.0,21.0,357.0,172.0,185.0,4.0,5.72,10.82,-3.78
4,kan,5,0,1,Las Vegas Raiders,32.0,40.0,21.0,413.0,333.0,80.0,1.0,22.0,490.0,346.0,144.0,1.0,10.45,-22.81,0.4
5,kan,6,1,0,Buffalo Bills,26.0,17.0,27.0,466.0,221.0,245.0,1.0,20.0,206.0,122.0,84.0,1.0,21.56,-4.19,-8.48
6,kan,7,1,0,Denver Broncos,43.0,16.0,17.0,286.0,185.0,101.0,1.0,24.0,411.0,234.0,177.0,4.0,3.75,15.83,6.31
7,kan,8,1,1,New York Jets,35.0,9.0,25.0,496.0,446.0,50.0,0.0,13.0,221.0,128.0,93.0,1.0,21.48,8.29,-6.95
8,kan,9,1,1,Carolina Panthers,33.0,31.0,24.0,397.0,361.0,36.0,1.0,30.0,435.0,331.0,104.0,0.0,20.48,-19.28,-1.85
9,kan,11,1,0,Las Vegas Raiders,35.0,31.0,36.0,460.0,352.0,108.0,1.0,25.0,364.0,275.0,89.0,1.0,28.52,-19.95,-2.56
10,kan,12,1,0,Tampa Bay Buccaneers,27.0,24.0,26.0,543.0,456.0,87.0,1.0,20.0,417.0,342.0,75.0,2.0,20.42,-12.72,-2.46
11,kan,13,1,1,Denver Broncos,22.0,16.0,25.0,447.0,313.0,134.0,0.0,19.0,330.0,151.0,179.0,2.0,14.55,-6.11,0.21
12,kan,14,1,0,Miami Dolphins,33.0,27.0,22.0,448.0,354.0,94.0,4.0,27.0,367.0,287.0,80.0,1.0,3.61,-10.4,14.14
13,kan,15,1,0,New Orleans Saints,32.0,29.0,34.0,411.0,232.0,179.0,1.0,15.0,285.0,225.0,60.0,1.0,12.26,-0.3,-8.71
14,kan,16,1,1,Atlanta Falcons,17.0,14.0,23.0,395.0,278.0,117.0,2.0,23.0,367.0,277.0,90.0,1.0,5.3,-5.95,3.91
15,kan,17,0,1,Los Angeles Chargers,21.0,38.0,18.0,268.0,217.0,51.0,1.0,29.0,416.0,281.0,135.0,0.0,10.71,-25.49,-3.07
16,kan,19,1,1,Cleveland Browns,22.0,17.0,24.0,438.0,315.0,123.0,1.0,21.0,308.0,196.0,112.0,2.0,19.09,-5.1,-8.48
17,kan,20,1,1,Buffalo Bills,38.0,24.0,29.0,439.0,325.0,114.0,1.0,24.0,363.0,234.0,129.0,1.0,30.34,-3.03,-9.61
18,kan,21,1,1,Tampa Bay Buccaneers,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0
0,tam,1,0,0,New Orleans Saints,23.0,34.0,23.0,310.0,224.0,86.0,3.0,18.0,271.0,189.0,82.0,0.0,0.48,-1.98,-11.57
1,tam,2,1,1,Carolina Panthers,31.0,17.0,20.0,339.0,217.0,122.0,2.0,24.0,427.0,340.0,87.0,4.0,7.61,-0.25,4.83
2,tam,3,1,0,Denver Broncos,28.0,10.0,17.0,353.0,285.0,68.0,0.0,13.0,226.0,184.0,42.0,2.0,7.71,10.72,0.99
3,tam,4,1,1,Los Angeles Chargers,38.0,31.0,28.0,484.0,369.0,115.0,1.0,15.0,324.0,278.0,46.0,2.0,12.95,-5.88,0.2
4,tam,5,0,0,Chicago Bears,19.0,20.0,18.0,339.0,233.0,106.0,1.0,18.0,243.0,208.0,35.0,1.0,-3.3,0.67,-1.05
5,tam,6,1,1,Green Bay Packers,38.0,10.0,21.0,324.0,166.0,158.0,0.0,13.0,201.0,107.0,94.0,2.0,15.29,21.73,-4.79
6,tam,7,1,0,Las Vegas Raiders,45.0,20.0,29.0,454.0,369.0,85.0,0.0,19.0,347.0,271.0,76.0,1.0,30.56,-1.69,-4.89
7,tam,8,1,0,New York Giants,25.0,23.0,23.0,344.0,263.0,81.0,1.0,24.0,357.0,256.0,101.0,2.0,5.01,-3.57,2.61
8,tam,9,0,1,New Orleans Saints,3.0,38.0,13.0,194.0,186.0,8.0,3.0,27.0,420.0,282.0,138.0,2.0,-19.57,-13.73,0.26
9,tam,10,1,0,Carolina Panthers,46.0,23.0,30.0,544.0,334.0,210.0,1.0,13.0,187.0,122.0,65.0,1.0,27.3,6.81,-11.18
10,tam,11,0,1,Los Angeles Rams,24.0,27.0,20.0,251.0,209.0,42.0,2.0,22.0,413.0,376.0,37.0,2.0,-1.67,-5.08,2.02
11,tam,12,0,1,Kansas City Chiefs,24.0,27.0,20.0,417.0,342.0,75.0,2.0,26.0,543.0,456.0,87.0,1.0,12.72,-20.42,2.46
12,tam,14,1,1,Minnesota Vikings,26.0,14.0,17.0,303.0,196.0,107.0,0.0,27.0,335.0,173.0,162.0,1.0,18.44,-10.7,7.06
13,tam,15,1,0,Atlanta Falcons,31.0,27.0,27.0,416.0,365.0,51.0,0.0,23.0,369.0,332.0,37.0,0.0,20.21,-8.39,-4.28
14,tam,16,1,0,Detroit Lions,47.0,7.0,30.0,588.0,477.0,111.0,0.0,12.0,186.0,113.0,73.0,2.0,37.71,18.39,-16.78
15,tam,17,1,1,Atlanta Falcons,44.0,27.0,28.0,485.0,391.0,94.0,1.0,25.0,385.0,258.0,127.0,2.0,29.28,-10.53,0.43
16,tam,18,1,0,Washington Football Team,31.0,23.0,26.0,507.0,365.0,142.0,1.0,23.0,375.0,289.0,86.0,1.0,14.51,-5.16,-1.49
17,tam,19,1,0,New Orleans Saints,30.0,20.0,20.0,316.0,189.0,127.0,0.0,20.0,294.0,190.0,104.0,4.0,5.85,6.52,-0.63
18,tam,20,1,0,Green Bay Packers,31.0,26.0,19.0,351.0,275.0,76.0,3.0,23.0,381.0,314.0,67.0,2.0,14.4,-7.4,0.17
19,tam,21,1,1,Kansas City Chiefs,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0
